調査年 コード,調査年,JCODE,地域,ALL,U14,A15.64,O65,U17
2020100000,2020年度,01225,北海道 滝川市,"39,490","3,995","21,161","13,821","4,917"
2020100000,2020年度,01226,北海道 砂川市,"16,486","1,388","8,138","6,404","1,783"
2020100000,2020年度,01227,北海道 歌志内市,"2,989",142,"1,252","1,592",188
2020100000,2020年度,01228,北海道 深川市,"20,039","1,634","9,802","8,544","2,099"
2020100000,2020年度,01229,北海道 富良野市,"21,131","2,211","11,512","7,255","2,717"
2020100000,2020年度,01230,北海道 登別市,"46,391","4,775","24,170","17,287","5,950"
2020100000,2020年度,01231,北海道 恵庭市,"70,331","8,701","41,413","19,673","10,720"
2020100000,2020年度,01233,北海道 伊達市,"32,826","3,355","16,832","12,601","4,270"
2020100000,2020年度,01234,北海道 北広島市,"58,171","6,395","32,140","19,380","8,324"
2020100000,2020年度,01235,北海道 石狩市,"56,869","6,821","30,645","19,402","8,542"
2020100000,2020年度,01236,北海道 北斗市,"44,302","5,444","25,434","13,332","6,842"
2020100000,2020年度,01303,北海道 当別町,"15,916","1,178","8,983","5,553","1,549"
2020100000,2020年度,01304,北海道 新篠津村,"3,044",300,"1,591","1,142",461
2020100000,2020年度,01331,北海道 松前町,"6,260",377,"2,611","3,266",464
2020100000,2020年度,01332,北海道 福島町,"3,794",228,"1,711","1,851",294
2020100000,2020年度,01333,北海道 知内町,"4,167",357,"2,160","1,649",493
2020100000,2020年度,01334,北海道 木古内町,"3,832",232,"1,678","1,908",293
2020100000,2020年度,01337,北海道 七飯町,"27,686","3,215","14,743","9,719","3,959"
2020100000,2020年度,01343,北海道 鹿部町,"3,760",342,"1,901","1,517",425
2020100000,2020年度,01345,北海道 森町,"14,338","1,364","7,403","5,532","1,735"
2020100000,2020年度,01346,北海道 八雲町,"15,826","1,591","8,504","5,534","1,890"
2020100000,2020年度,01347,北海道 長万部町,"5,109",415,"2,507","2,088",496
2020100000,2020年度,01361,北海道 江差町,"7,428",589,"3,950","2,846",743
2020100000,2020年度,01362,北海道 上ノ国町,"4,306",388,"2,047","1,868",483
2020100000,2020年度,01363,北海道 厚沢部町,"3,592",339,"1,713","1,540",402
2020100000,2020年度,01364,北海道 乙部町,"3,403",284,"1,567","1,552",369
2020100000,2020年度,01367,北海道 奥尻町,"2,410",163,"1,250",997,238
2020100000,2020年度,01370,北海道 今金町,"5,072",468,"2,515","2,089",627
2020100000,2020年度,01371,北海道 せたな町,"7,398",587,"3,323","3,482",719
2020100000,2020年度,01391,北海道 島牧村,"1,356",112,680,564,130
2020100000,2020年度,01392,北海道 寿都町,"2,838",258,"1,411","1,167",327
2020100000,2020年度,01393,北海道 黒松内町,"2,791",304,"1,385","1,102",363
2020100000,2020年度,01394,北海道 蘭越町,"4,568",453,"2,285","1,828",548
2020100000,2020年度,01395,北海道 ニセコ町,"5,074",619,"2,797","1,307",702
2020100000,2020年度,01396,北海道 真狩村,"2,045",242,"1,098",705,323
2020100000,2020年度,01397,北海道 留寿都村,"1,911",234,"1,184",493,292
2020100000,2020年度,01398,北海道 喜茂別町,"2,156",177,"1,044",805,209
2020100000,2020年度,01399,北海道 京極町,"2,941",297,"1,446","1,114",354
2020100000,2020年度,01400,北海道 倶知安町,"15,129","1,941","9,096","3,731","2,261"
2020100000,2020年度,01401,北海道 共和町,"5,772",650,"3,273","1,826",776
2020100000,2020年度,01402,北海道 岩内町,"11,648","1,106","6,157","4,364","1,355"
2020100000,2020年度,01403,北海道 泊村,"1,569",147,797,625,177
2020100000,2020年度,01404,北海道 神恵内村,870,65,357,448,77
2020100000,2020年度,01405,北海道 積丹町,"1,831",148,823,859,175
2020100000,2020年度,01406,北海道 古平町,"2,745",207,"1,297","1,154",252
2020100000,2020年度,01407,北海道 仁木町,"3,180",344,"1,554","1,282",437
2020100000,2020年度,01408,北海道 余市町,"18,000","1,667","9,020","7,260","2,228"
2020100000,2020年度,01409,北海道 赤井川村,"1,165",131,673,361,154
2020100000,2020年度,01423,北海道 南幌町,"7,319",693,"4,057","2,555",866
2020100000,2020年度,01424,北海道 奈井江町,"5,120",439,"2,490","2,189",544
2020100000,2020年度,01425,北海道 上砂川町,"2,841",182,"1,201","1,458",234
2020100000,2020年度,01427,北海道 由仁町,"4,822",401,"2,324","2,044",509
2020100000,2020年度,01428,北海道 長沼町,"10,289","1,010","5,280","3,969","1,214"
2020100000,2020年度,01429,北海道 栗山町,"11,272","1,083","5,528","4,636","1,347"
2020100000,2020年度,01430,北海道 月形町,"3,691",214,"2,064","1,376",254
2020100000,2020年度,01431,北海道 浦臼町,"1,732",173,781,777,211
2020100000,2020年度,01432,北海道 新十津川町,"6,484",719,"3,099","2,666",876
2020100000,2020年度,01433,北海道 妹背牛町,"2,693",217,"1,207","1,269",271
2020100000,2020年度,01434,北海道 秩父別町,"2,329",229,"1,093",985,259
2020100000,2020年度,01436,北海道 雨竜町,"2,389",194,"1,186","1,009",328
2020100000,2020年度,01437,北海道 北竜町,"1,724",162,787,775,190
2020100000,2020年度,01438,北海道 沼田町,"2,909",257,"1,412","1,240",314
2020100000,2020年度,01452,北海道 鷹栖町,"6,567",804,"3,491","2,272","1,067"
2020100000,2020年度,01453,北海道 東神楽町,"10,127","1,545","5,638","2,929","1,864"
2020100000,2020年度,01454,北海道 当麻町,"6,319",649,"3,011","2,659",812
2020100000,2020年度,01455,北海道 比布町,"3,520",353,"1,706","1,461",434
2020100000,2020年度,01456,北海道 愛別町,"2,605",221,"1,178","1,206",276
2020100000,2020年度,01457,北海道 上川町,"3,500",263,"1,687","1,550",342
2020100000,2020年度,01458,北海道 東川町,"8,314","1,085","4,469","2,759","1,338"
2020100000,2020年度,01459,北海道 美瑛町,"9,668",927,"4,992","3,749","1,181"
2020100000,2020年度,01460,北海道 上富良野町,"10,348","1,195","5,741","3,314","1,455"
2020100000,2020年度,01461,北海道 中富良野町,"4,733",594,"2,406","1,731",725
2020100000,2020年度,01462,北海道 南富良野町,"2,376",250,"1,355",766,313
2020100000,2020年度,01463,北海道 占冠村,"1,306",100,847,305,113
2020100000,2020年度,01464,北海道 和寒町,"3,192",308,"1,470","1,414",366
2020100000,2020年度,01465,北海道 剣淵町,"2,926",279,"1,451","1,196",378
2020100000,2020年度,01468,北海道 下川町,"3,126",316,"1,514","1,257",393
2020100000,2020年度,01469,北海道 美深町,"4,145",369,"2,075","1,699",531
2020100000,2020年度,01470,北海道 音威子府村,706,44,432,208,140
2020100000,2020年度,01471,北海道 中川町,"1,528",140,770,593,149
2020100000,2020年度,01472,北海道 幌加内町,"1,370",120,691,559,180
2020100000,2020年度,01481,北海道 増毛町,"3,908",323,"1,857","1,728",412
2020100000,2020年度,01482,北海道 小平町,"2,994",265,"1,527","1,201",354
2020100000,2020年度,01483,北海道 苫前町,"2,936",285,"1,463","1,186",372
2020100000,2020年度,01484,北海道 羽幌町,"6,548",619,"3,096","2,832",781
2020100000,2020年度,01485,北海道 初山別村,"1,080",90,569,421,109
2020100000,2020年度,01486,北海道 遠別町,"2,520",248,"1,238","1,034",324
2020100000,2020年度,01487,北海道 天塩町,"2,950",300,"1,545","1,097",368
2020100000,2020年度,01511,北海道 猿払村,"2,611",366,"1,622",615,422
2020100000,2020年度,01512,北海道 浜頓別町,"3,448",312,"1,831","1,293",376
2020100000,2020年度,01513,北海道 中頓別町,"1,637",160,822,655,189
2020100000,2020年度,01514,北海道 枝幸町,"7,565",790,"4,078","2,696",968
2020100000,2020年度,01516,北海道 豊富町,"3,974",388,"2,114","1,357",454
2020100000,2020年度,01517,北海道 礼文町,"2,509",259,"1,340",910,312
2020100000,2020年度,01518,北海道 利尻町,"2,004",185,"1,010",809,222
2020100000,2020年度,01519,北海道 利尻富士町,"2,458",252,"1,265",941,311
2020100000,2020年度,01520,北海道 幌延町,"2,371",274,"1,416",681,314
2020100000,2020年度,01543,北海道 美幌町,"18,697","1,928","10,043","6,713","2,402"
2020100000,2020年度,01544,北海道 津別町,"4,373",365,"1,940","1,978",437
2020100000,2020年度,01545,北海道 斜里町,"11,418","1,337","6,221","3,839","1,567"
2020100000,2020年度,01546,北海道 清里町,"3,883",453,"1,868","1,484",529
2020100000,2020年度,01547,北海道 小清水町,"4,623",533,"2,312","1,772",624
2020100000,2020年度,01549,北海道 訓子府町,"4,677",531,"2,314","1,828",647
2020100000,2020年度,01550,北海道 置戸町,"2,775",270,"1,261","1,244",333
2020100000,2020年度,01552,北海道 佐呂間町,"4,875",492,"2,458","1,924",570
2020100000,2020年度,01555,北海道 遠軽町,"19,241","1,961","9,521","7,230","2,455"
2020100000,2020年度,01559,北海道 湧別町,"8,270",781,"4,243","3,246","1,010"
2020100000,2020年度,01560,北海道 滝上町,"2,421",202,"1,135","1,084",234
2020100000,2020年度,01561,北海道 興部町,"3,628",450,"1,969","1,209",523
2020100000,2020年度,01562,北海道 西興部村,"1,053",104,576,373,111
2020100000,2020年度,01563,北海道 雄武町,"4,199",432,"2,347","1,420",527
2020100000,2020年度,01564,北海道 大空町,"6,775",798,"3,470","2,507",997
2020100000,2020年度,01571,北海道 豊浦町,"3,821",386,"1,916","1,512",464
2020100000,2020年度,01575,北海道 壮瞥町,"2,743",227,"1,227","1,237",286
2020100000,2020年度,01578,北海道 白老町,"16,212","1,104","7,639","7,428","1,566"
2020100000,2020年度,01581,北海道 厚真町,"4,432",567,"2,236","1,613",655
2020100000,2020年度,01584,北海道 洞爺湖町,"8,442",706,"4,031","3,679",877
2020100000,2020年度,01585,北海道 安平町,"7,340",754,"3,873","2,712",914
2020100000,2020年度,01586,北海道 むかわ町,"7,651",707,"3,781","3,122",897
2020100000,2020年度,01601,北海道 日高町,"11,279","1,209","6,008","4,062","1,459"
2020100000,2020年度,01602,北海道 平取町,"4,776",553,"2,537","1,680",675
2020100000,2020年度,01604,北海道 新冠町,"5,309",656,"2,894","1,747",787
2020100000,2020年度,01607,北海道 浦河町,"12,074","1,242","6,735","4,097","1,532"
2020100000,2020年度,01608,北海道 様似町,"4,043",363,"1,970","1,710",448
2020100000,2020年度,01609,北海道 えりも町,"4,374",537,"2,398","1,438",649
2020100000,2020年度,01610,北海道 新ひだか町,"21,517","2,424","11,396","7,608","2,953"
2020100000,2020年度,01631,北海道 音更町,"43,576","5,656","24,865","12,907","7,113"
2020100000,2020年度,01632,北海道 士幌町,"5,848",734,"3,168","1,938",892
2020100000,2020年度,01633,北海道 上士幌町,"4,778",550,"2,537","1,690",644
2020100000,2020年度,01634,北海道 鹿追町,"5,266",714,"2,915","1,629",876
2020100000,2020年度,01635,北海道 新得町,"5,817",591,"3,027","2,199",697
2020100000,2020年度,01636,北海道 清水町,"9,094",909,"4,529","3,388","1,120"
2020100000,2020年度,01637,北海道 芽室町,"18,048","2,462","10,010","5,535","3,073"
2020100000,2020年度,01638,北海道 中札内村,"3,884",491,"2,275","1,118",650
2020100000,2020年度,01639,北海道 更別村,"3,080",405,"1,706",969,494
2020100000,2020年度,01641,北海道 大樹町,"5,420",612,"2,825","1,983",697
2020100000,2020年度,01642,北海道 広尾町,"6,387",609,"3,247","2,517",762
2020100000,2020年度,01643,北海道 幕別町,"25,766","3,168","13,900","8,658","3,895"
2020100000,2020年度,01644,北海道 池田町,"6,294",520,"3,029","2,743",674
2020100000,2020年度,01645,北海道 豊頃町,"3,022",294,"1,536","1,192",350
2020100000,2020年度,01646,北海道 本別町,"6,618",579,"3,281","2,756",702
2020100000,2020年度,01647,北海道 足寄町,"6,563",732,"3,199","2,618",899
2020100000,2020年度,01648,北海道 陸別町,"2,264",224,"1,154",886,243
2020100000,2020年度,01649,北海道 浦幌町,"4,387",425,"2,088","1,865",493
2020100000,2020年度,01661,北海道 釧路町,"19,105","2,153","11,091","5,704","2,682"
2020100000,2020年度,01662,北海道 厚岸町,"8,892",900,"4,809","3,182","1,130"
2020100000,2020年度,01663,北海道 浜中町,"5,507",633,"3,109","1,759",759
2020100000,2020年度,01664,北海道 標茶町,"7,230",861,"3,894","2,475","1,077"
2020100000,2020年度,01665,北海道 弟子屈町,"6,955",605,"3,405","2,854",744
2020100000,2020年度,01667,北海道 鶴居村,"2,558",298,"1,339",910,369
2020100000,2020年度,01668,北海道 白糠町,"7,289",564,"3,660","3,063",731
2020100000,2020年度,01691,北海道 別海町,"14,380","1,849","7,996","3,992","2,223"
2020100000,2020年度,01692,北海道 中標津町,"23,010","3,021","13,749","6,151","3,785"
2020100000,2020年度,01693,北海道 標津町,"5,023",637,"2,796","1,571",776
2020100000,2020年度,01694,北海道 羅臼町,"4,722",516,"2,718","1,484",629
2020100000,2020年度,02201,青森県 青森市,"275,192","28,040","150,122","84,787","35,289"
2020100000,2020年度,02202,青森県 弘前市,"168,466","17,417","95,115","53,922","21,616"
2020100000,2020年度,02203,青森県 八戸市,"223,415","25,636","126,567","69,328","32,139"
2020100000,2020年度,02204,青森県 黒石市,"31,946","3,214","17,723","10,943","4,109"
2020100000,2020年度,02205,青森県 五所川原市,"51,415","4,852","27,798","18,363","6,233"
2020100000,2020年度,02206,青森県 十和田市,"60,378","6,398","33,001","20,320","8,117"
2020100000,2020年度,02207,青森県 三沢市,"39,152","4,994","23,094","10,385","6,097"
2020100000,2020年度,02208,青森県 むつ市,"54,103","5,714","29,283","18,249","7,124"
2020100000,2020年度,02209,青森県 つがる市,"30,934","2,903","16,001","12,002","3,697"
2020100000,2020年度,02210,青森県 平川市,"30,567","3,282","16,504","10,777","4,067"
2020100000,2020年度,02301,青森県 平内町,"10,126",906,"5,050","4,164","1,150"
2020100000,2020年度,02303,青森県 今別町,"2,334",105,939,"1,290",137
2020100000,2020年度,02304,青森県 蓬田村,"2,540",247,"1,216","1,077",308
2020100000,2020年度,02307,青森県 外ヶ浜町,"5,401",285,"2,362","2,750",377
2020100000,2020年度,02321,青森県 鰺ヶ沢町,"9,044",701,"4,299","4,034",862
2020100000,2020年度,02323,青森県 深浦町,"7,346",481,"3,139","3,726",634
2020100000,2020年度,02343,青森県 西目屋村,"1,265",151,613,501,176
2020100000,2020年度,02361,青森県 藤崎町,"14,573","1,679","8,090","4,797","2,072"
2020100000,2020年度,02362,青森県 大鰐町,"8,665",631,"4,262","3,771",807
2020100000,2020年度,02367,青森県 田舎館村,"7,326",836,"3,845","2,639","1,016"
2020100000,2020年度,02381,青森県 板柳町,"12,700","1,205","6,672","4,822","1,516"
2020100000,2020年度,02384,青森県 鶴田町,"12,074","1,263","6,236","4,575","1,603"
2020100000,2020年度,02387,青森県 中泊町,"9,657",756,"4,612","4,289",943
2020100000,2020年度,02401,青森県 野辺地町,"12,374","1,102","6,556","4,713","1,455"
2020100000,2020年度,02402,青森県 七戸町,"14,556","1,406","7,202","5,943","1,721"
2020100000,2020年度,02405,青森県 六戸町,"10,447","1,394","5,522","3,531","1,668"
2020100000,2020年度,02406,青森県 横浜町,"4,229",359,"2,179","1,691",444
2020100000,2020年度,02408,青森県 東北町,"16,428","1,721","8,396","6,300","2,135"
2020100000,2020年度,02411,青森県 六ヶ所村,"10,367","1,065","6,470","2,618","1,261"
2020100000,2020年度,02412,青森県 おいらせ町,"24,273","3,308","13,956","6,671","4,009"
2020100000,2020年度,02423,青森県 大間町,"4,718",501,"2,496","1,711",611
2020100000,2020年度,02424,青森県 東通村,"5,955",633,"3,205","2,117",749
2020100000,2020年度,02425,青森県 風間浦村,"1,636",125,751,757,154
2020100000,2020年度,02426,青森県 佐井村,"1,788",124,802,858,147
2020100000,2020年度,02441,青森県 三戸町,"9,082",826,"4,412","3,783","1,049"
2020100000,2020年度,02442,青森県 五戸町,"16,042","1,436","8,139","6,467","1,808"
2020100000,2020年度,02443,青森県 田子町,"4,968",417,"2,368","2,182",524
2020100000,2020年度,02445,青森県 南部町,"16,809","1,558","8,525","6,725","1,983"
2020100000,2020年度,02446,青森県 階上町,"13,496","1,276","7,697","4,281","1,641"
2020100000,2020年度,02450,青森県 新郷村,"2,197",165,948,"1,084",208
2020100000,2020年度,03201,岩手県 盛岡市,"289,731","33,602","167,894","80,035","41,752"
2020100000,2020年度,03202,岩手県 宮古市,"50,369","5,003","25,994","19,042","6,162"
2020100000,2020年度,03203,岩手県 大船渡市,"34,728","3,379","17,943","13,055","4,200"
2020100000,2020年度,03205,岩手県 花巻市,"93,193","10,177","50,113","32,231","12,837"
2020100000,2020年度,03206,岩手県 北上市,"93,045","11,420","54,390","25,238","14,085"
2020100000,2020年度,03207,岩手県 久慈市,"33,043","3,697","17,697","11,006","4,578"
2020100000,2020年度,03208,岩手県 遠野市,"25,366","2,554","12,497","10,283","3,189"
2020100000,2020年度,03209,岩手県 一関市,"111,932","11,563","58,370","41,306","14,851"
2020100000,2020年度,03210,岩手県 陸前高田市,"18,262","1,637","9,223","7,356","2,104"
2020100000,2020年度,03211,岩手県 釜石市,"32,078","2,949","16,134","12,778","3,664"
2020100000,2020年度,03213,岩手県 二戸市,"25,513","2,541","13,330","9,509","3,149"
2020100000,2020年度,03214,岩手県 八幡平市,"24,023","2,117","11,926","9,944","2,635"
2020100000,2020年度,03215,岩手県 奥州市,"112,937","12,501","59,785","39,997","15,542"
2020100000,2020年度,03216,岩手県 滝沢市,"55,579","7,614","33,476","14,164","9,435"
2020100000,2020年度,03301,岩手県 雫石町,"15,731","1,584","8,066","6,078","1,959"
2020100000,2020年度,03302,岩手県 葛巻町,"5,634",418,"2,498","2,716",536
2020100000,2020年度,03303,岩手県 岩手町,"12,285","1,081","6,296","4,896","1,384"
2020100000,2020年度,03321,岩手県 紫波町,"32,147","3,948","18,073","10,088","4,877"
2020100000,2020年度,03322,岩手県 矢巾町,"28,056","3,469","16,894","7,370","4,280"
2020100000,2020年度,03366,岩手県 西和賀町,"5,134",360,"2,155","2,619",449
2020100000,2020年度,03381,岩手県 金ケ崎町,"15,535","1,832","8,824","4,765","2,287"
2020100000,2020年度,03402,岩手県 平泉町,"7,252",791,"3,602","2,859",998
2020100000,2020年度,03441,岩手県 住田町,"5,045",376,"2,382","2,287",466
2020100000,2020年度,03461,岩手県 大槌町,"11,004","1,129","5,641","4,199","1,372"
2020100000,2020年度,03482,岩手県 山田町,"14,320","1,374","7,192","5,745","1,700"
2020100000,2020年度,03483,岩手県 岩泉町,"8,726",738,"4,103","3,863",905
2020100000,2020年度,03484,岩手県 田野畑村,"3,059",317,"1,446","1,296",375
2020100000,2020年度,03485,岩手県 普代村,"2,487",219,"1,200","1,067",266
2020100000,2020年度,03501,岩手県 軽米町,"8,421",765,"4,134","3,521",942
2020100000,2020年度,03503,岩手県 野田村,"3,936",429,"1,989","1,513",514
2020100000,2020年度,03506,岩手県 九戸村,"5,378",511,"2,489","2,378",651
2020100000,2020年度,03507,岩手県 洋野町,"15,091","1,365","7,448","6,274","1,741"
2020100000,2020年度,03524,岩手県 一戸町,"11,494",987,"5,612","4,881","1,244"
2020100000,2020年度,04100,宮城県 仙台市,"1,096,704","128,665","673,081","257,223","156,125"
2020100000,2020年度,04101,宮城県 仙台市 青葉区,"311,590","33,702","194,212","69,969","40,735"
2020100000,2020年度,04102,宮城県 仙台市 宮城野区,"196,732","24,017","125,693","40,773","29,114"
2020100000,2020年度,04103,宮城県 仙台市 若林区,"141,475","16,895","89,414","30,767","20,157"
2020100000,2020年度,04104,宮城県 仙台市 太白区,"234,758","29,344","141,716","58,657","35,465"
2020100000,2020年度,04105,宮城県 仙台市 泉区,"212,149","24,707","122,046","57,057","30,654"
2020100000,2020年度,04202,宮城県 石巻市,"140,151","14,579","76,979","46,507","18,175"
2020100000,2020年度,04203,宮城県 塩竈市,"52,203","5,407","28,777","17,682","6,707"
2020100000,2020年度,04205,宮城県 気仙沼市,"61,147","5,427","31,637","23,437","7,045"
2020100000,2020年度,04206,宮城県 白石市,"32,758","3,303","17,574","11,648","4,139"
2020100000,2020年度,04207,宮城県 名取市,"78,718","11,872","47,869","17,878","14,391"
2020100000,2020年度,04208,宮城県 角田市,"27,976","2,910","14,931","10,015","3,656"
2020100000,2020年度,04209,宮城県 多賀城市,"62,827","8,186","37,896","15,490","10,009"
2020100000,2020年度,04211,宮城県 岩沼市,"44,068","5,840","26,065","11,755","7,238"
2020100000,2020年度,04212,宮城県 登米市,"76,037","8,332","40,399","26,956","10,364"
2020100000,2020年度,04213,宮城県 栗原市,"64,637","6,262","31,948","26,204","7,855"
2020100000,2020年度,04214,宮城県 東松島市,"39,098","4,820","22,690","11,587","6,000"
2020100000,2020年度,04215,宮城県 大崎市,"127,330","15,025","72,656","38,738","18,663"
2020100000,2020年度,04216,宮城県 富谷市,"51,651","8,491","31,812","11,144","10,571"
2020100000,2020年度,04301,宮城県 蔵王町,"11,418","1,169","5,864","4,367","1,466"
2020100000,2020年度,04302,宮城県 七ヶ宿町,"1,262",90,589,583,133
2020100000,2020年度,04321,宮城県 大河原町,"23,571","3,029","13,789","6,520","3,716"
2020100000,2020年度,04322,宮城県 村田町,"10,666","1,080","5,749","3,784","1,337"
2020100000,2020年度,04323,宮城県 柴田町,"38,271","4,368","22,274","11,032","5,436"
2020100000,2020年度,04324,宮城県 川崎町,"8,345",731,"4,381","3,210",908
2020100000,2020年度,04341,宮城県 丸森町,"12,262","1,061","5,889","5,293","1,329"
2020100000,2020年度,04361,宮城県 亘理町,"33,087","3,790","18,734","10,389","4,785"
2020100000,2020年度,04362,宮城県 山元町,"12,046","1,074","6,013","4,943","1,350"
2020100000,2020年度,04401,宮城県 松島町,"13,323","1,221","6,881","5,215","1,529"
2020100000,2020年度,04404,宮城県 七ヶ浜町,"18,132","1,948","10,511","5,644","2,518"
2020100000,2020年度,04406,宮城県 利府町,"35,182","5,045","21,264","8,649","6,251"
2020100000,2020年度,04421,宮城県 大和町,"28,786","4,115","17,601","6,502","4,855"
2020100000,2020年度,04422,宮城県 大郷町,"7,813",863,"3,926","3,017","1,055"
2020100000,2020年度,04424,宮城県 大衡村,"5,849",871,"3,263","1,709","1,044"
2020100000,2020年度,04444,宮城県 色麻町,"6,698",783,"3,560","2,343","1,044"
2020100000,2020年度,04445,宮城県 加美町,"21,943","2,327","11,468","8,137","2,916"
2020100000,2020年度,04501,宮城県 涌谷町,"15,388","1,471","8,091","5,796","1,854"
2020100000,2020年度,04505,宮城県 美里町,"23,994","2,628","12,743","8,547","3,324"
2020100000,2020年度,04581,宮城県 女川町,"6,430",521,"3,554","2,333",710
2020100000,2020年度,04606,宮城県 南三陸町,"12,225","1,124","6,387","4,707","1,438"
2020100000,2020年度,05201,秋田県 秋田市,"307,672","32,809","172,755","95,949","40,557"
2020100000,2020年度,05202,秋田県 能代市,"49,968","4,231","24,953","20,765","5,475"
2020100000,2020年度,05203,秋田県 横手市,"85,555","8,532","43,422","33,401","10,687"
2020100000,2020年度,05204,秋田県 大館市,"69,237","6,479","35,272","26,998","8,167"
2020100000,2020年度,05206,秋田県 男鹿市,"25,154","1,723","11,474","11,809","2,203"
2020100000,2020年度,05207,秋田県 湯沢市,"42,091","3,613","21,485","16,926","4,628"
2020100000,2020年度,05209,秋田県 鹿角市,"29,088","2,877","14,259","11,843","3,570"
2020100000,2020年度,05210,秋田県 由利本荘市,"74,707","7,467","38,918","27,783","9,288"
2020100000,2020年度,05211,秋田県 潟上市,"31,720","3,272","17,095","11,218","4,121"
2020100000,2020年度,05212,秋田県 大仙市,"77,657","7,611","39,751","29,871","9,480"
2020100000,2020年度,05213,秋田県 北秋田市,"30,198","2,437","14,260","13,438","3,075"
2020100000,2020年度,05214,秋田県 にかほ市,"23,435","2,244","12,041","9,140","2,889"
2020100000,2020年度,05215,秋田県 仙北市,"24,610","2,135","11,845","10,533","2,716"
2020100000,2020年度,05303,秋田県 小坂町,"4,780",354,"2,281","2,145",475
2020100000,2020年度,05327,秋田県 上小阿仁村,"2,063",117,839,"1,107",140
2020100000,2020年度,05346,秋田県 藤里町,"2,896",200,"1,283","1,413",251
2020100000,2020年度,05348,秋田県 三種町,"15,254","1,167","7,151","6,935","1,462"
2020100000,2020年度,05349,秋田県 八峰町,"6,577",442,"3,098","3,036",586
2020100000,2020年度,05361,秋田県 五城目町,"8,538",596,"3,896","4,038",771
2020100000,2020年度,05363,秋田県 八郎潟町,"5,583",423,"2,678","2,477",557
2020100000,2020年度,05366,秋田県 井川町,"4,566",332,"2,231","1,977",451
2020100000,2020年度,05368,秋田県 大潟村,"3,011",350,"1,686",954,440
2020100000,2020年度,05434,秋田県 美郷町,"18,613","1,770","9,474","7,367","2,250"
2020100000,2020年度,05463,秋田県 羽後町,"13,825","1,286","7,085","5,437","1,601"
2020100000,2020年度,05464,秋田県 東成瀬村,"2,704",206,"1,455","1,008",274
2020100000,2020年度,06201,山形県 山形市,"247,590","29,120","140,796","72,341","35,788"
